community_name,average_income,fishing_dependency,unemployment_rate,tourism_revenue,marine_biodiversity,fish_stock_health,potential_habitat_restoration,carbon_sequestration_potential,distance_from_offshore_wind_farm,current_offshore_wind_farms,potential_wind_farm_capacity,marine_protected_area
Community E,42566,0.20312201397052845,0.05844295602010138,227835,91.01577297469892,50.70006224231641,0.30219257363831753,0.12821378701010808,30,2,47,False
Community B,44696,0.27828488182804,0.0625429043002087,381485,76.02251846502556,55.466472665686666,0.41275184851904717,0.4588397489125994,158,2,22,False
Community A,48244,0.49327518363957445,0.10478460957544315,408464,83.30695684578588,78.6020867285713,0.7988867309868879,0.4206617374101669,52,0,12,False
Community C,42056,0.21909122586301655,0.0579058128986302,330266,92.51116507778859,48.72322694798134,0.3049849925070147,0.19941384973101672,198,0,20,True
Community B,49691,0.13392885654560263,0.0655111004002944,257334,83.61726355852483,65.07323486739264,0.6294238367826973,0.35332445925640055,170,1,34,True
Community B,45381,0.2168636606782962,0.10112420045026194,121269,64.62473429523106,44.00115098347803,0.21455228166307755,0.3952814239605852,39,2,20,False
Community B,31679,0.14974469480975455,0.07168142050102463,322157,78.46737169227646,76.80530287460198,0.42623565967799065,0.3212678873133118,36,2,41,True
Community D,26507,0.19778914062116415,0.11066546727771973,230612,67.21553573965227,40.752484452171196,0.6596842265212282,0.14493358461239964,76,2,16,True
Community E,26534,0.4518714948000091,0.033166642563881965,326875,52.04012943077285,45.21956398703615,0.6287934376101455,0.3285907042639934,99,0,30,True
Community C,26079,0.189022929269359,0.11798738875240514,100364,96.92102414074495,39.75195633781286,0.7964004761158188,0.38193198825436026,102,2,30,True
Community A,37116,0.19760862435068402,0.08622221657214377,374988,87.69239481264985,56.1341575023738,0.5613146856615545,0.47257016608959246,84,0,23,True
Community E,44188,0.23750904261049893,0.10601796692115292,443530,95.93792112922173,80.02365280150562,0.4383132421917198,0.33816792255750594,49,2,15,False
Community C,39329,0.47392802900301767,0.08126171280386882,156595,95.2122721542816,66.9247584919409,0.47687053063527307,0.4816813876548731,16,1,10,False
Community D,41514,0.15237284645332974,0.10370894647724481,395961,68.92673595243552,45.30326921751461,0.5107291754459893,0.17018897798543775,168,1,18,False
Community C,25516,0.48477576056292027,0.07496539978544661,347568,79.59972839456626,32.86083215616342,0.436163950493627,0.38678389857412443,69,2,11,True
Community C,33667,0.417299141532142,0.11807568048315502,406452,77.79517314006125,74.97348337474719,0.4408423281420427,0.2198137094882552,199,2,40,True
Community A,46440,0.2987104742607104,0.026441268745356364,202247,73.35450435513792,64.38439430734809,0.7562239454947273,0.4579099328084939,110,1,20,True
Community C,25841,0.48806545889012753,0.06835874172326807,201860,97.92558550111053,63.29085037302972,0.7023702920286008,0.3221030045749044,68,0,17,False
Community A,32490,0.254388788056722,0.08068151745761012,237061,72.14603779022532,84.45019078663381,0.7375579167354258,0.30808008618593147,129,1,30,True
Community B,24636,0.3260339318768083,0.04856793067938991,263834,60.410938730345826,87.02354389935194,0.2642086747729866,0.4212042975992788,177,1,26,True
Community B,47897,0.4595554441166668,0.10251596070061962,475032,64.73337273096553,41.05341645743803,0.7087861377562656,0.4985891490446376,120,2,45,False
Community A,37844,0.17965406002887685,0.11785352081675697,100013,68.09451844514355,81.66212126608104,0.6449841362858542,0.2714393045276057,110,0,36,False
Community D,48720,0.25360584141676257,0.05421323061995666,448680,75.29062498208211,62.17335413121578,0.6760690483808421,0.496921813916145,122,2,37,False
Community D,38787,0.45278162307560144,0.025209878957731052,457366,94.78496279765626,58.83608844289916,0.5246041002390837,0.29405559864319275,145,2,38,True
Community A,44303,0.3967901267344215,0.048776689184968296,115549,83.5775411704183,55.23243836329839,0.24560914162665345,0.1148840774267324,198,2,30,True
Community D,40005,0.21749734574313948,0.02506780635431825,483348,81.73590259701211,63.072301928342696,0.36549445582065565,0.4681289002193997,83,2,23,True
Community E,40869,0.23795905868008532,0.07952712440590456,482114,72.04505429020011,35.336799165289406,0.48781173285946894,0.12575000174850737,103,1,22,True
Community C,39066,0.20275761580492724,0.025478637894869864,332849,87.06178440196362,43.17601043516533,0.2572702510627225,0.21738305771417982,176,0,43,True
Community C,39444,0.12374164836574675,0.05716231641387422,107206,92.04202648275927,71.37993126816806,0.38649120709871476,0.19615477717147664,142,1,47,True
Community A,47601,0.12509079877684137,0.07526579185336554,133683,62.85213833075649,66.29017051815731,0.20664134435267492,0.29673518828865597,192,2,18,False
Community E,36101,0.262622921522054,0.06547034439645821,439632,88.84218677100316,43.006007395417505,0.5581724439571256,0.3874915131926603,186,0,20,False
Community A,48890,0.22810677722728845,0.10713197407678225,252576,61.2554422577977,39.310833200290894,0.687819990336171,0.4218128142229254,69,2,29,True
Community A,32781,0.2394653321887025,0.09105584780477792,182509,89.89645405889883,49.700972925451524,0.25746621709828726,0.2505227614892427,119,2,36,False
Community C,23812,0.4960134409746556,0.09225921006440829,101373,93.67219270716033,80.11195250018162,0.5631760756046472,0.32049360843012586,20,0,20,False
Community C,40233,0.24637899344029834,0.05162947090522041,195604,61.133046158795494,30.07096223111421,0.387957910767617,0.4315350838754698,48,1,19,False
Community C,26778,0.10093014850816986,0.09802103924269391,435955,55.91529818757355,73.27044649598129,0.6597454850463147,0.3623830368187708,71,0,33,False
Community E,32408,0.21423413844503952,0.0722317606489203,324568,52.57576416707211,78.48998705859985,0.3385285483360841,0.2885117696329261,57,0,23,False
Community B,48895,0.4876508408680734,0.07736559631064399,371183,88.32856549220698,31.423668068110334,0.23647638977347618,0.156400512927489,89,1,13,False
Community E,45814,0.35366338434464706,0.07706618457630746,131604,56.71253593285019,85.63738794450005,0.6662741151796416,0.20518631177849192,186,1,39,True
Community C,28342,0.3579749703503208,0.04325141191024426,277612,74.81195859620561,82.02775101877756,0.6110041078753623,0.44452792996052837,138,2,11,True
Community A,27899,0.3508165518481884,0.11731905795025362,167376,61.89547071057566,83.63685957597174,0.45179377414860367,0.4497568223846735,176,2,33,False
Community A,36393,0.300507440745864,0.02958723473352111,231843,54.01083099383234,51.949496584649665,0.5668573906235591,0.4935452778860696,62,0,32,False
Community B,46739,0.13248516469664026,0.09540358659663395,494343,73.9260040697694,40.02657946973467,0.2503958058655156,0.19863038711830142,95,1,33,False
Community B,49674,0.4226091610080135,0.08240059558814021,485710,72.1499639403774,52.214262950080425,0.24582177147540574,0.2946952474917342,125,0,46,False
Community A,34548,0.10366809470927177,0.08386499011293322,125206,79.94804977636812,85.13510395328603,0.382521277750295,0.10212327003848487,28,0,46,False
Community E,26573,0.1381415193487986,0.10437703706983288,294828,55.677482222314566,41.21436951263243,0.6970548165026237,0.22414087524020243,113,0,22,False
Community C,34255,0.312572204016644,0.048746570143232026,457826,65.13179611130062,34.18031826117159,0.6588547228394983,0.25159957320171916,163,1,32,True
Community C,27640,0.28470819425369265,0.025826206622863605,374374,85.9879825322005,71.69420586339363,0.45470037006303093,0.29976669884036644,50,0,47,True
Community D,20612,0.15169140923586122,0.034404803750823054,405401,60.35949363654565,44.64364353197287,0.22826598166356996,0.47953422447854244,83,0,17,False
Community B,22886,0.3475021180348577,0.10112761405620735,396149,81.52105916176839,42.07525791156286,0.6926804368366234,0.30910145173550474,166,0,33,False
Community D,28066,0.35953197441192575,0.036602341024048426,416905,71.02503554583157,72.40875141556143,0.7782720665063299,0.2919110677137253,38,0,13,False
Community A,23687,0.46664883964200454,0.07902674503025546,211927,58.87829592019808,34.3656090757796,0.5466971410625641,0.32113891047217313,125,1,17,False
Community B,31701,0.2841383215306088,0.08344806580020642,340942,71.59304933394733,87.91765432700286,0.7142409049333565,0.2752794229538247,44,1,24,False
Community D,49947,0.23984237132067207,0.02896403203278254,169101,87.16503892207514,37.03671328649093,0.2965616784361564,0.4408197804001406,102,2,35,False
Community E,42209,0.29020014368973013,0.0546741765866762,481733,86.45856680999373,69.19662245175469,0.5519170632753025,0.48517967005380147,102,2,30,True
Community D,21607,0.18590931754081597,0.0797059757106351,345917,90.55379374713611,35.62207086059768,0.5234938436399261,0.42743357587573827,101,0,23,False
Community C,20762,0.11767606202078569,0.08916969134574725,191003,51.9993326116621,73.8703812783471,0.5608149047710662,0.15774860063144433,17,1,48,True
Community D,46590,0.14104406109196496,0.07364150043659044,381066,87.19525968355414,46.16365364178749,0.3096939484239938,0.11635994266519081,137,0,32,False
Community E,39053,0.27741204643178163,0.05246557638858007,170067,94.11412270926743,46.20689493438647,0.3913666526654599,0.12858824291507365,169,0,24,False
Community C,40989,0.3434470042218982,0.032540511961047874,355634,77.89446760035577,46.311443805150816,0.3210915312030573,0.25822839500919664,42,0,14,True
Community A,35304,0.25488880950216225,0.09321062814583149,104909,51.45798780069864,74.2719837234716,0.4792536150745913,0.32754825112190616,62,1,42,False
Community B,44622,0.36898544902188235,0.08912552727299607,275559,60.70001652725004,55.66404004586272,0.26005739041194537,0.3434789979923555,102,0,10,True
Community A,46412,0.44499563934618813,0.08470779748806119,114165,86.60907668047957,35.569914949649096,0.6078180025317381,0.20201689789638622,146,0,39,False
Community D,47528,0.105303071967424,0.03401615360056405,372965,52.68807409861232,77.38195373320762,0.45575481484993347,0.23273897258452744,33,0,10,False
Community A,28379,0.3112161004419052,0.03172858647598001,278241,83.01164855614417,84.57874878264825,0.734136934201135,0.17987148103692907,139,0,46,True
Community D,29522,0.19349041981667128,0.03137400527085807,459134,63.94072151272659,31.118776320098128,0.33686552367771827,0.30847587551584066,191,2,40,False
Community D,47056,0.16111113159904897,0.08579039410597573,451453,65.89326394201785,75.6356668497401,0.5647625241042693,0.19789652581087394,110,2,32,False
Community B,25479,0.35993090533372285,0.023512504995556165,379337,93.47481068766967,56.11052014629783,0.24581269488993251,0.27866997368791707,132,0,29,True
Community E,22672,0.4735485366037493,0.11628657352735866,131459,51.60833232234965,48.67930971998901,0.7095094032947342,0.2839007437165556,128,1,40,False
Community C,24884,0.4988260045763704,0.04257567320283029,182741,79.50338147232887,59.51495421087361,0.5253658713181406,0.18224483354481846,30,2,18,False
Community B,36460,0.12814214047007463,0.06655152887698026,155649,84.54655952013515,73.95393111329494,0.7571702697242211,0.12189422225814522,71,0,40,False
Community D,22420,0.3424729245555378,0.06165494359977283,129119,99.12331492720621,55.786885281422116,0.2650688347313884,0.14826147495244896,27,1,15,False
Community C,31266,0.35157978488372443,0.09063321061578793,256540,89.79890866617342,64.85507340954959,0.22518507559172635,0.22137774524395454,72,1,29,False
Community A,22739,0.2314852574333874,0.11269529560648403,301071,54.834917003222685,55.235017976659535,0.21872794906529713,0.10560486863585897,194,1,16,False
Community B,24633,0.2058548481131521,0.09698243248660475,174381,84.41241904114698,51.397759290726746,0.6995637341916536,0.10882147983950699,38,2,47,True
Community A,21274,0.31060829696054026,0.09896133609047664,321416,81.14133590872389,54.50088475505749,0.5986871113140638,0.35308380391650507,128,1,10,False
Community E,35284,0.40222104769276,0.02067833908086734,202014,65.1290038074275,83.96696641417174,0.5547315786174034,0.2857167340018717,39,0,28,True
Community C,31677,0.1706474384707946,0.05808134076916305,463769,95.64296892668577,75.20083643638768,0.7604814763866197,0.1034180384758158,172,0,46,False
Community A,42207,0.32513083809494747,0.09657098871490881,419451,85.787965074297,37.24813196425767,0.30540311929516356,0.41732667907358745,21,2,20,False
Community E,23016,0.2820442835978235,0.11542830284540513,263652,92.40088314390019,58.908547037138874,0.6881334674104246,0.18295250677456823,18,0,24,False
Community A,40934,0.18742120197882334,0.08469698566243498,123861,88.44415060103391,72.04971881786881,0.5912722417465441,0.36554196519513393,65,2,19,True
